name,nickname
Bea Malecki,Bea
Louis Gaudinot,Goodnight
Ramsey Nijem,Ramsey
Claudio Silva,Hannibal
Marcos Galvao,Loro
Joey Villasenor,Smokin' Joe
Taila Santos,Taila
Matt Schnell,Danger
Anthony Pettis,Showtime_1_2.40
Darrill Schoonover,The Boss
Jeff Hougland,Hellbound
Jeremy Horn,Gumby
Thales Leites,Thales
Dean Lister,The Boogeyman
Kurt Holobaugh,Kurt
Chris Wade,Chris_4_4.00
Dylan Potter,Big Poppa
Tatsuya Kawajiri,Crusher
Trevor Prangley,Trevor_1_3.09
Karolina Wojcik,Polish Assassin
Pat Miletich,The Croatian Sensation
Steve Erceg,Astroboy
Evan Dunham,Evan_1_2.00
Josh Stansbury,The Sandman_1_0.50
Ed Herman,Short Fuse
Ali AlQaisi,The Royal Fighter
Elaina Maxwell,Beef
Mando Gutierrez,El Toro_1_3.50
Claudia Leite,Claudia
Ray Borg,The Tazmexican Devil
Chad Hanekom,Superman_2_3.00
Zach Skinner,Zach
Jay Silva,Jay
Tim Elliott,Tim_2_1.54
Jason Guida,Jason_1_0.68
Carlos Condit,The Natural Born Killer
Gunnar Nelson,Gunni
Pingyuan Liu,Pingyuan
Mohammad Yahya,The UAE Warrior
Yusup Saadulaev,Maestro
Enrique Marin,Wasabi
Allan Zuniga,Tigre
Takeshi Yamazaki,Takeshi
Johnny Walker,Johnny_1_3.00
Nick Osipczak,Nick_1_2.00
Jonavin Webb,The Spyder
Brian Schwartz,Brian_1_1.00
Eddie Yagin,The Filipino Phenom
Karo Parisyan,The Heat_1_2.18
Marco Tulio,Matuto
Carlos Mota,Tizil
Charles Rosa,Boston Strong
Bobby Cooper,Super Duper
Nayara Maia,Capita
Oscar Cota,Elevation
Gabrielle Holloway,Gabanator
Erik Koch,Phoenix
Anthony Rocco Martin,Anthony
Gilbert Urbina,The RGV Bad Boy
Sam Watford,Sam_1_1.00
Dylan Budka,The Mindless Hulk
Kaleio Romero,KO
Cameron Church,Cameron
Anton Berzin,The Body Snatcher
Jason Gonzalez,Nicoya
Manny Vazquez,Manny
Jeff Crotty,Jeff_1_1.00
Sam Greco,Sam_2_3.00
Ricco Rodriguez,Suave_1_2.12
Jay Hieron,The Thoroughbred
Sung Bin Jo,Korean Falcon
Art Arciniega,King Arthur
Isabela de Padua,Belinha
Lucas Fernando,Lucas
Rafael Silva,Morcego
Hyder Amil,The Hurricane_2_8.00
Vaughan Lee,Vaughan
Ryan Healy,The Irish Assassin
Joao Zeferino,The Brazilian Samurai
Virna Jandiroba,Carcara
Miles McDonald,Miles
Korey Kuppe,Korey
Patrick Murphy,Patrick
Nick Diaz,Nick_2_2.60
Akitoshi Tamura,The Ironman
Eric Schambari,Eric_2_2.50
Markus Perez,Maluko
Greg Soto,Greg_1_2.25
Mike French,Mike_9_0.90
Karl Amoussou,The Psycho
Luke Rockhold,Luke_3_2.67
Brett Johns,The Pikey
Rogerio Bontorin,Rogerio
Chris Mierzwiak,Chris_5_1.67
Sergei Kharitonov,Sergei
Emil Meek,Valhalla
Yoshihiro Akiyama,Yoshihiro
Saul Elizondo,Saul
Islam Makhachev,Islam
Luis Henrique,KLB
Ben Nguyen,Ten
Marilia Santos,Chocolate
James Hammortree,The Sledge
Michael Chiesa,Maverick_1_2.57
Cole Province,Cole
Ivan Menjivar,The Pride of El Salvador
Joe Duarte,Joe_3_2.50
Chris de la Rocha,Chris_6_1.67
Justin Edwards,Fast Eddy
DeAnna Bennett,The Argentine Assassin
Mu Bae Choi,Mu
Connor Matthews,The Controller
Chalid Arrab,Die Faust
Lemont Davis,Lemont
Gilbert Yvel,The Hurricane_3_2.44
Vitor Petrino,Vitor
Richie Vaculik,Vas
Demian Maia,Demian
Phil Caracappa,The Hitman_1_6.00
Denis Stojnic,Denis_1_4.33
Mike Rio,The Wolverine
Cameron Olson,Cap'n Crunch
Dwight Joseph,Dwight
Alex Chambers,Astro Girl
Magnus Cedenblad,Jycken
Danny Sabatello,Italian Gangster
Jon Tuck,Super Saiyan
Stephan Bonnar,The American Psycho
Ilima Macfarlane,Ilima
Eric Spicely,Zebrinha
Chase Gormley,Chase
Paige VanZant,12 Gauge
Bruno Assis,Brunao
Alexandre Pantoja,The Cannibal
Krzysztof Soszynski,The Polish Experiment
Leonardo Guimaraes,Leleco
Terrance McKinney,T. Wrecks
Jordan Parsons,Pretty Boy_1_5.50
Rodney Wallace,Shonuff the Master
Brad Imes,Hillbilly Heartthrob
David Heath,David
Alexandr Romanov,King Kong
Allan Nascimento,Puro Osso
Eliot Marshall,Fire
Warlley Alves,Warlley
Chris Horodecki,The Polish Hammer
AJ Fletcher,The Ghost
Tyson Pedro,Tyson
Lerone Murphy,The Miracle
Tagir Ulanbekov,Tagir
Aisling Daly,Ais the Bash
JeongYeong Lee,Korean Tiger
Seth Dikun,Seth
Ben Askren,Funky
Beneil Dariush,Beneil
Luiz Firmino,Buscape
Gillian Robertson,The Savage_1_1.50
Pete Williams,El Duro
Rameau Thierry Sokoudjou,The African Assassin
John Hathaway,The Hitman_2_8.50
Cristiano Marcello,Cristiano
Antoni Hardonk,Antoni
Matt Serra,The Terra
Michael Chandler,Iron
Eric Wisely,Little Lee
Pascal Krauss,Panzer
Alan Belcher,The Talent
Tyson Griffin,Tyson_1_2.00
Sam Sicilia,Sam_3_1.88
Ryan Gracie,Ryan_3_2.50
Damacio Page,The Angel of Death
Aleksander Emelianenko,Aleksander
Samy Schiavo,Samy
Brodie Farber,Brodie
Pete Sell,Drago
Jason Witt,The Vanilla Gorilla
